"K","x.values","f.values"
300,0.00442843390406011,-12.3901729428219
300,0.0268655798223805,-13.9407393000579
300,0.0527529136257232,-13.4641316700629
300,0.0647347308989765,-11.5184560791755
300,0.172172186031351,-13.8688263448824
300,0.187756382174006,-14.5209671424977
300,0.210917457654903,-13.4972059685768
300,0.296733125544435,-12.6886785294465
300,0.303050064912461,-9.34555121176902
300,0.329297881305689,-9.09896772296278
300,0.351460195648381,-9.09896772296278
300,0.419985887479647,-10.5442559849293
300,0.439266288636788,-10.5452243354694
300,0.469417144151182,-10.8081339754689
300,0.500886035578744,-10.6495790026154
300,0.540200346997814,-10.7530150989375
300,0.59326036682244,-11.2479546444738
300,0.632519896545447,-11.3193470232765
300,0.646841564277287,-11.1038426402009
300,0.670063535430925,-9.69894672960227
300,0.686412755638908,-8.84609612913845
300,0.74603222990158,-9.18477426189256
300,0.773400601266843,-8.9152026373616
300,0.797912177408411,-9.84049123428505
300,0.820387503021276,-10.5489515988293
300,0.837511839866866,-13.9334123080111
300,0.861132164918963,-14.4112766556682
300,0.866958677310423,-14.3945470027144
300,0.884823915743229,-11.9921211347453
300,0.903651139162536,-14.757064782811
300,0.934448669175205,-15.5856120647536
300,0.96569512075949,-16.5568700523482
300,0.996263171394692,-17.2712102399788
300,1.04642168107861,-18.6219261953326
300,1.07792734377148,-18.9324873685742
300,1.11520452161035,-18.7564701337903
300,1.14814652349915,-18.8597480403005
300,1.19842011133798,-19.6319547152613
300,1.22732670003703,-19.3427124939709
300,1.23833471458316,-19.1554524766307
300,1.27920925651653,-19.2186488879737
300,1.30871472112863,-19.5511632280366
300,1.3440346857554,-19.5544634183723
300,1.41877298529681,-20.005107410068
300,1.43808250492663,-21.3575947681423
300,1.47962827042463,-21.3727832964032
300,1.5183820767411,-21.1378433505138
300,1.54204609114245,-21.1889912375448
300,1.58235295781949,-21.3004649599289
300,1.60171379548791,-21.3154840636448
300,1.64060543163074,-21.2800448343691
300,1.69782854599038,-21.0922006526195
300,1.74751458101148,-21.0899976272034
300,1.76500324584662,-21.0899976272034
300,1.79755042994024,-20.459828020683
300,1.81264403927333,-20.4418049982745
300,1.82710375068084,-19.9517026387812
300,1.85451361657561,-17.4527848258291
300,1.91449512723137,-14.32239985963
300,1.94020455119764,-13.8835485952081
300,1.97228938793107,-13.9293229608733
300,1.99097813294591,-13.9778824419997
300,2.02760562588642,-14.3137873594985
300,2.06651565105219,-13.9315260079803
300,2.10103504775257,-13.5444616630838
300,2.11779599508037,-13.3046219250795
300,2.16661537788928,-6.87193248391257
300,2.19286103226754,-5.61311269608695
300,2.20388139015406,-4.3563352664779
300,2.21283911140774,-4.70243791784804
300,2.23799448479737,-4.57030831364892
300,2.27733183159983,-3.67259314195074
300,2.32209773550331,-3.90376760618478
300,2.34793557518783,-3.78429173235849
300,2.37351030548469,-3.70102889619111
300,2.39509559216981,-4.25271558355382
300,2.46526895781971,-4.27813849662776
300,2.49769479368682,-2.62890203763359
300,2.52943906987273,-3.19504830304202
300,2.56138273273461,-2.38431168111727
300,2.59858325219855,-3.53606906563287
300,2.6495380633924,-2.96383087166675
300,2.68161647780652,-5.63332613927337
300,2.71653206357624,-5.76887509300011
300,2.73487253993334,-5.55477713024845
300,2.77740748958399,-5.52765484094736
300,2.81062891598886,-4.43451523017745
300,2.8628805610897,-6.01249562300568
300,2.89576682539662,-5.76140958880067
300,2.94502992188213,-5.93787385957883
300,3.00965297671133,-6.23806239900505
300,3.03801113398075,-7.02071758772565
300,3.06454895774394,-7.13986488301111
300,3.0936881439182,-7.42474716963098
300,3.13323938782145,-8.76968116264147
300,3.16542282774163,-9.17534400802079
300,3.20658965104549,-10.1168210499451
300,3.22652731607192,-10.4523953794625
300,3.23352456904312,-10.4352900587581
300,3.27105109154747,-10.7488309473086
300,3.30607773457534,-11.8484360033864
300,3.34394505084746,-12.6173740873873
300,3.39667302733744,-13.625710138421
300,3.44120926695058,-14.5591147767399
300,3.4766306330814,-15.2468247306774
300,3.55026838681524,-16.027344075998
300,3.56045914737168,-16.15770150284
300,3.57862596930402,-16.0825537478502
300,3.60254405375489,-16.2020937566242
300,3.62801509874008,-16.4842692168137
300,3.67197390956415,-16.5086362727675
300,3.69601855717024,-15.9290175925172
300,3.73883046161509,-15.9268670554598
300,3.75687545080335,-15.9268670554598
300,3.77986826279829,-15.9346675878653
300,3.80780190629915,-14.9108494833745
300,3.8162490691984,-14.8767985875307
300,3.82900364591627,-13.8060092218733
300,3.8455931322795,-15.5522472096588
300,3.86608746065124,-15.5522472096588
300,3.89486135686944,-14.565099139967
300,3.92424895334522,-14.2535705162261
300,3.97726811046225,-13.833357891794
300,3.9933950680663,-13.7730952887861
300,4.00333534048655,-11.6760394428775
300,4.02608058544449,-12.5980253334216
300,4.06926593576849,-11.2510974467718
300,4.09488574172446,-9.40777884412849
300,4.14033254097316,-9.16495214632792
300,4.2300092001554,-6.09259700270693
300,4.23514399819197,-3.64223053317177
300,4.28549998960654,0.0605604214565094
300,4.34525741558329,1.43251728133496
300,4.36538054438753,1.43251728133496
300,4.39755249758948,2.39113220885858
300,4.45030253942676,8.01989045066539
300,4.46461144496295,5.47472091891206
300,4.49564327993037,7.74247855009748
300,4.51922814983599,8.26868889615347
300,4.53671166087036,8.48971804058008
300,4.57038345006573,6.94839554222109
300,4.64865199923316,12.7672146686536
300,4.65527322105151,11.4351091280111
300,4.66820702188776,11.2960941081328
300,4.70193309542304,11.7029782947667
300,4.72457025248359,10.5017643238324
300,4.7906796535886,6.82308998472945
300,4.83329754061844,6.45520119799608
300,4.85215036540703,6.34851194739711
300,4.89888318623366,6.44848105107319
300,4.94934060314037,5.45724145770585
300,4.98201272790523,4.95897503973826
300,5.00311242762033,5.34329501088098
300,5.03774592662116,6.47400501460792
300,5.0570210266821,4.7651001511753
300,5.08851136823436,1.65743906620615
300,5.11015179944535,1.29770323184876
300,5.14569410792905,1.11387091078183
300,5.21111789534555,-1.49609215544608
300,5.25566248276021,-2.63600022205385
300,5.30567373362001,-4.99341832850503
300,5.33396462464959,-4.90405499222296
300,5.36257348153741,-4.723456019354
300,5.39099266936804,-5.01018423977438
300,5.41779009819477,-5.08671931922849
300,5.44317381281229,-5.45699910353803
300,5.48648380729577,-6.07853878178996
300,5.51651488102284,-7.04846958571587
300,5.56105716194328,-8.17783959059498
300,5.62191020092383,-8.31821637816739
300,5.62598346951475,-6.44311839095163
300,5.66085475061711,-6.65957448311815
300,5.68781979771626,-6.65957448311815
300,5.70718854750664,-6.68733501053428
300,5.72861029390422,-6.03016810388355
300,5.7978867630237,-6.42404679916744
300,5.84035558826593,-6.23223087981476
300,5.87024314744762,-5.23374644751981
300,5.94388604475255,-4.57533556691927
300,5.94749481660734,-4.19264423518397
300,5.96966054860529,-2.78583026427703
300,6.00693811742446,-1.99240503556827
300,6.02089272970075,-1.76733636596294
300,6.04604795678856,-3.22269457128454
300,6.1521240371274,-2.14629248201664
300,6.17866041726679,-1.31109755816588
300,6.22681944341189,-0.0599680755534511
300,6.2430022590781,1.58976110896385
300,6.3136010529131,4.74483077043557
300,6.3573872879181,10.9161249496229
