size,time
1000,0.27884301200015216
2000,0.5662060479999127
3000,0.882811705999984
4000,1.1904714019999574
5000,1.530400064000105
6000,1.8702258030000394
7000,2.2062736939999468
8000,2.500011979999954
9000,3.1078662110001005
10000,3.43891101600002
11000,3.845113569999967
12000,4.157957871000008
13000,4.663258114999962
14000,5.0066209320000326
15000,5.387355340999875
16000,5.72006333000013
17000,6.224197980000099
18000,6.509243939999806
19000,7.1705422100001215
20000,7.326259966999942
21000,7.953943731999971
22000,8.242246677999901
23000,8.623516719999998
24000,9.206055447999915
25000,9.385999518000062
26000,9.871179138000116
27000,10.254594220999934
28000,10.700477164999938
29000,11.159697735000009
